epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1383.2,0.97992,0.73275,1.02704,0.86483,0.80177,0.84725,0.62745,1.23919,0.88298,1.19392,0.000144532,0.000144532,0.000144532
68,1403.74,0.97074,0.73738,1.02663,0.90615,0.78765,0.84948,0.63476,1.21462,0.84804,1.17818,0.000140404,0.000140404,0.000140404
69,1428.71,0.9533,0.72043,1.01193,0.89217,0.79016,0.84519,0.6232,1.20461,0.85639,1.17456,0.000136276,0.000136276,0.000136276
70,1450.91,0.96642,0.72371,1.02258,0.91956,0.77013,0.84393,0.62564,1.23644,0.8411,1.20087,0.000132147,0.000132147,0.000132147
71,1473.03,0.97042,0.73789,1.01999,0.9038,0.78092,0.84354,0.63448,1.19782,0.8652,1.1693,0.000128019,0.000128019,0.000128019
72,1495.05,0.94271,0.69197,1.00755,0.90617,0.78278,0.84095,0.63009,1.20927,0.85043,1.18077,0.000123891,0.000123891,0.000123891
73,1517.39,0.94369,0.71859,1.01213,0.9013,0.7807,0.83023,0.62657,1.18179,0.8798,1.14643,0.000119762,0.000119762,0.000119762
74,1539.78,0.94431,0.70024,1.01197,0.90356,0.77452,0.83912,0.63486,1.2074,0.86298,1.17552,0.000115634,0.000115634,0.000115634
75,1560.77,0.95287,0.70146,1.0098,0.90715,0.76898,0.83606,0.62897,1.20095,0.88191,1.16156,0.000111506,0.000111506,0.000111506
76,1581.59,0.93301,0.69225,1.00263,0.89587,0.77756,0.8377,0.63544,1.19792,0.854,1.16609,0.000107378,0.000107378,0.000107378
77,1602.48,0.93366,0.68061,1.00662,0.9109,0.77763,0.84552,0.63525,1.20462,0.85357,1.16434,0.000103249,0.000103249,0.000103249
78,1623.51,0.92238,0.69403,1.00932,0.88626,0.78964,0.83986,0.63656,1.20956,0.86788,1.18078,9.91209e-05,9.91209e-05,9.91209e-05
